 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        etth11      etth22      etth33
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00     0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.0000E+00  0.0000E+00  0.0000E+00
  0.5105E-03 -0.1390E-03 -0.1561E-03  0.0000E+00  0.0000E+00  0.0000E+00     0.1078E+03  0.0000E+00  0.0000E+00  0.1210E+01  0.1518E+01  0.2887E+00     0.5106E-03 -0.1390E-03 -0.1562E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.1021E-02 -0.2779E-03 -0.3122E-03  0.0000E+00  0.0000E+00  0.0000E+00     0.2157E+03  0.2949E-06  0.4674E-06  0.2420E+01  0.3035E+01  0.5773E+00     0.1021E-02 -0.2780E-03 -0.3123E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.1532E-02 -0.4707E-03 -0.5138E-03  0.0000E+00  0.0000E+00  0.0000E+00     0.2735E+03 -0.3049E-03  0.2986E-02  0.4055E+01  0.3727E+01  0.1901E+00     0.1295E-02 -0.3527E-03 -0.3958E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.2042E-02 -0.6620E-03 -0.7413E-03  0.0000E+00  0.0000E+00  0.0000E+00     0.3190E+03 -0.3275E-03  0.3604E-02  0.5029E+01  0.3914E+01  0.4778E+00     0.1511E-02 -0.4114E-03 -0.4617E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.2552E-02 -0.8512E-03 -0.9788E-03  0.0000E+00  0.0000E+00  0.0000E+00     0.3606E+03 -0.8871E-03  0.4237E-02  0.5350E+01  0.4426E+01  0.7847E+00     0.1707E-02 -0.4650E-03 -0.5220E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.3063E-02 -0.1058E-02 -0.1212E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.3957E+03 -0.3139E-02  0.6438E-02  0.5274E+01  0.4929E+01  0.9012E+00     0.1874E-02 -0.5103E-03 -0.5729E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.3573E-02 -0.1271E-02 -0.1442E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.4293E+03 -0.2618E-02  0.5934E-02  0.5398E+01  0.5180E+01  0.8318E+00     0.2033E-02 -0.5535E-03 -0.6215E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.4084E-02 -0.1485E-02 -0.1673E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.4620E+03 -0.2843E-02  0.6044E-02  0.5477E+01  0.5280E+01  0.8409E+00     0.2187E-02 -0.5957E-03 -0.6690E-03     0.0000E+00  0.0000E+00  0.0000E+00
  0.4594E-02 -0.1701E-02 -0.1903E-02  0.0000E+00  0.0000E+00  0.0000E+00     0.4941E+03 -0.3388E-02  0.6291E-02  0.5544E+01  0.5302E+01  0.7887E+00     0.2340E-02 -0.6371E-03 -0.7156E-03     0.0000E+00  0.0000E+00  0.0000E+00
