 COMPONENTS 11 22 33 OF SAMPLE STRAIN, STRESS, ELASTIC STRAIN and AVACS
 ******************************************************************************
        et11        et22        et33        et23        et13        et12           st11        st22        st33        st23        st13        st12         etel11      etel22      etel33        wgt_ph
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00     0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.4716E-03 -0.1313E-03 -0.1374E-03  0.1869E-05  0.1838E-05  0.2067E-05     0.1154E+03 -0.7315E+00 -0.2683E+01  0.8994E+00  0.1206E+01 -0.7504E-01     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.9432E-03 -0.2627E-03 -0.2748E-03  0.3740E-05  0.3675E-05  0.4134E-05     0.2307E+03 -0.1452E+01 -0.5355E+01  0.1799E+01  0.2411E+01 -0.1502E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1293E-02 -0.3856E-03 -0.3995E-03  0.7524E-05  0.3924E-05  0.4078E-05     0.3102E+03 -0.1267E+02 -0.1752E+02  0.2963E+01  0.3120E+01 -0.5422E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1603E-02 -0.4966E-03 -0.5225E-03  0.9591E-05  0.2826E-05  0.6068E-05     0.3792E+03 -0.2459E+02 -0.3228E+02  0.3739E+01  0.3511E+01 -0.4971E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.1898E-02 -0.6015E-03 -0.6433E-03  0.9593E-05  0.2834E-05  0.8099E-05     0.4443E+03 -0.3617E+02 -0.4740E+02  0.4089E+01  0.4087E+01 -0.4246E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2164E-02 -0.6992E-03 -0.7481E-03  0.8230E-05  0.2958E-05  0.9479E-05     0.5027E+03 -0.4714E+02 -0.6019E+02  0.4140E+01  0.4625E+01 -0.4467E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2420E-02 -0.7951E-03 -0.8476E-03  0.7609E-05  0.2216E-05  0.1018E-04     0.5591E+03 -0.5796E+02 -0.7216E+02  0.4328E+01  0.4978E+01 -0.5932E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2672E-02 -0.8896E-03 -0.9454E-03  0.6845E-05  0.9408E-06  0.1117E-04     0.6147E+03 -0.6864E+02 -0.8393E+02  0.4482E+01  0.5222E+01 -0.6815E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.2922E-02 -0.9837E-03 -0.1042E-02  0.6046E-05 -0.6086E-06  0.1193E-04     0.6696E+03 -0.7933E+02 -0.9554E+02  0.4628E+01  0.5407E+01 -0.8116E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3170E-02 -0.1077E-02 -0.1137E-02  0.5228E-05 -0.2146E-05  0.1251E-04     0.7240E+03 -0.9005E+02 -0.1070E+03  0.4767E+01  0.5589E+01 -0.9752E+00     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3415E-02 -0.1170E-02 -0.1232E-02  0.4479E-05 -0.3639E-05  0.1338E-04     0.7778E+03 -0.1007E+03 -0.1185E+03  0.4918E+01  0.5776E+01 -0.1079E+01     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
  0.3819E-02 -0.1341E-02 -0.1435E-02 -0.7372E-05 -0.5252E-05  0.1791E-04     0.8025E+03 -0.1045E+03 -0.1220E+03  0.6464E+01  0.5958E+01 -0.1750E+01     0.0000E+00  0.0000E+00  0.0000E+00     0.3400E+00
