 ******************************************************************************
 DP                                                                                                                                                    
 ******************************************************************************
           Ctrl            EP1            EP2            EP3           SIG1           SIG2           SIG3          MODE1          MODE2          ActAv         PMODE1         PMODE2         PActAv         CMODE1         CMODE2         CActAv         nGrain       MaxTwins
        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000      282.00000        0.00000
        0.00051        0.00051       -0.00014       -0.00016      107.84167        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000      282.00000        0.00000
        0.00102        0.00102       -0.00028       -0.00031      215.68033        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000        0.00000      282.00000        0.00000
        0.00153        0.00153       -0.00047       -0.00051      273.48335       -0.00030        0.00299        0.32448        0.67552        1.93432        0.35338        0.64662        1.88236        0.27818        0.72182        0.85772      282.00000        0.00000
        0.00204        0.00204       -0.00066       -0.00074      319.04720       -0.00033        0.00360        0.29850        0.70150        2.82327        0.28902        0.71098        2.84931        0.31459        0.68541        1.18143      282.00000        0.00000
        0.00255        0.00255       -0.00085       -0.00098      360.64172       -0.00089        0.00424        0.37604        0.62396        3.33732        0.38274        0.61726        3.39271        0.36410        0.63590        1.37952      282.00000        0.00000
        0.00306        0.00306       -0.00106       -0.00121      395.74812       -0.00314        0.00644        0.34227        0.65773        4.07862        0.35674        0.64326        3.97516        0.31890        0.68110        1.80432      282.00000        0.00000
        0.00357        0.00357       -0.00127       -0.00144      429.26642       -0.00262        0.00593        0.34886        0.65114        4.51812        0.37348        0.62652        4.43849        0.30969        0.69031        1.97456      282.00000        0.00000
        0.00408        0.00408       -0.00149       -0.00167      461.96185       -0.00284        0.00604        0.34757        0.65243        4.65386        0.37338        0.62662        4.62762        0.30628        0.69372        1.99530      282.00000        0.00000
        0.00459        0.00459       -0.00170       -0.00190      494.09331       -0.00339        0.00629        0.34353        0.65647        4.77085        0.36484        0.63516        4.72424        0.30942        0.69058        2.05909      282.00000        0.00000
        0.00510        0.00510       -0.00192       -0.00213      525.71333       -0.00360        0.00636        0.34667        0.65333        4.84267        0.37143        0.62857        4.78565        0.30706        0.69294        2.09681      282.00000        0.00000
        0.00562        0.00562       -0.00214       -0.00236      556.87694       -0.00405        0.00677        0.34607        0.65393        4.88149        0.36243        0.63757        4.84578        0.31978        0.68022        2.09856      282.00000        0.00000
        0.00613        0.00613       -0.00236       -0.00261      574.41549       -0.00272        0.00547        0.37401        0.62599        4.99431        0.39377        0.60623        4.97020        0.39419        0.60581        2.57558      282.00000        0.00000
        0.00664        0.00664       -0.00260       -0.00287      585.94185       -0.00264        0.00459        0.34925        0.65075        5.02155        0.37322        0.62678        5.04981        0.38996        0.61004        3.02257      282.00000        0.00000
        0.00715        0.00715       -0.00283       -0.00312      596.27248       -0.00221        0.00467        0.36819        0.63181        5.03971        0.38964        0.61036        5.03093        0.38869        0.61131        3.18243      282.00000        0.00000
        0.00766        0.00766       -0.00307       -0.00337      606.23046       -0.00232        0.00526        0.35596        0.64404        5.01476        0.38580        0.61420        5.06196        0.37614        0.62386        3.16762      282.00000        0.00000
        0.00817        0.00817       -0.00331       -0.00362      615.78341       -0.00213        0.00556        0.34518        0.65482        5.03538        0.36481        0.63519        5.06323        0.37865        0.62135        3.22428      282.00000        0.00000
        0.00868        0.00868       -0.00355       -0.00388      625.03072       -0.00229        0.00632        0.33912        0.66088        5.03572        0.36639        0.63361        5.10299        0.37372        0.62628        3.22017      282.00000        0.00000
        0.00919        0.00919       -0.00379       -0.00413      633.94837       -0.00214        0.00643        0.35657        0.64343        5.09930        0.39501        0.60499        5.19095        0.37436        0.62564        3.25332      282.00000        0.00000
        0.00970        0.00970       -0.00403       -0.00439      642.44611       -0.00187        0.00681        0.33272        0.66728        5.13807        0.36017        0.63983        5.19124        0.36473        0.63527        3.33091      282.00000        0.00000
        0.01021        0.01021       -0.00426       -0.00464      650.47048       -0.00192        0.00699        0.33575        0.66425        5.22102        0.35710        0.64290        5.27592        0.36882        0.63118        3.39947      282.00000        0.00000
        0.01072        0.01072       -0.00450       -0.00490      658.20220       -0.00157        0.00715        0.33843        0.66157        5.28354        0.35445        0.64555        5.38962        0.37758        0.62242        3.41364      282.00000        0.00000
        0.01123        0.01123       -0.00474       -0.00515      665.56481       -0.00156        0.00765        0.33499        0.66501        5.32478        0.35969        0.64031        5.41834        0.37254        0.62746        3.48008      282.00000        0.00000
        0.01174        0.01174       -0.00499       -0.00541      672.59545       -0.00117        0.00751        0.33037        0.66963        5.38397        0.34651        0.65349        5.44409        0.37174        0.62826        3.55136      282.00000        0.00000
        0.01225        0.01225       -0.00523       -0.00566      679.39730       -0.00083        0.00759        0.32504        0.67496        5.39994        0.34117        0.65883        5.45141        0.36699        0.63301        3.57563      282.00000        0.00000
        0.01276        0.01276       -0.00547       -0.00591      685.94461       -0.00056        0.00781        0.33230        0.66770        5.43843        0.35191        0.64809        5.50089        0.36530        0.63470        3.60164      282.00000        0.00000
        0.01327        0.01327       -0.00572       -0.00617      692.23550       -0.00039        0.00764        0.33099        0.66901        5.41824        0.35172        0.64828        5.50125        0.35797        0.64203        3.61910      282.00000        0.00000
        0.01378        0.01378       -0.00596       -0.00642      698.30374       -0.00041        0.00789        0.32965        0.67035        5.49308        0.34997        0.65003        5.48310        0.35214        0.64786        3.72097      282.00000        0.00000
        0.01429        0.01429       -0.00620       -0.00668      704.10530       -0.00055        0.00831        0.33113        0.66887        5.51053        0.35297        0.64703        5.49802        0.35581        0.64419        3.75889      282.00000        0.00000
        0.01480        0.01480       -0.00645       -0.00693      709.65138       -0.00063        0.00841        0.32634        0.67366        5.56776        0.34294        0.65706        5.55620        0.35325        0.64675        3.79980      282.00000        0.00000
        0.01531        0.01531       -0.00669       -0.00719      715.10712       -0.00049        0.00853        0.32942        0.67058        5.54197        0.34221        0.65779        5.52792        0.36202        0.63798        3.80208      282.00000        0.00000
        0.01583        0.01583       -0.00694       -0.00744      720.36004       -0.00039        0.00842        0.33249        0.66751        5.58837        0.35221        0.64779        5.58201        0.35194        0.64806        3.82797      282.00000        0.00000
        0.01634        0.01634       -0.00718       -0.00770      725.48922       -0.00012        0.00847        0.33436        0.66564        5.65483        0.35496        0.64504        5.65253        0.35042        0.64958        3.86490      282.00000        0.00000
        0.01685        0.01685       -0.00743       -0.00795      730.41373       -0.00009        0.00860        0.33631        0.66369        5.64945        0.35855        0.64145        5.63825        0.35319        0.64681        3.88027      282.00000        0.00000
        0.01736        0.01736       -0.00768       -0.00821      735.23000       -0.00021        0.00876        0.33986        0.66014        5.64870        0.35610        0.64390        5.63549        0.35129        0.64871        3.89860      282.00000        0.00000
        0.01787        0.01787       -0.00792       -0.00846      739.82369       -0.00036        0.00898        0.33636        0.66364        5.70597        0.34917        0.65083        5.67549        0.34870        0.65130        3.95213      282.00000        0.00000
        0.01838        0.01838       -0.00817       -0.00872      744.30137       -0.00053        0.00915        0.33581        0.66419        5.72936        0.34898        0.65102        5.70498        0.34992        0.65008        3.95785      282.00000        0.00000
        0.01889        0.01889       -0.00842       -0.00897      748.66884       -0.00036        0.00922        0.33831        0.66169        5.76209        0.35319        0.64681        5.74166        0.34743        0.65257        3.98627      282.00000        0.00000
        0.01940        0.01940       -0.00866       -0.00923      752.92283       -0.00036        0.00938        0.33575        0.66425        5.81489        0.34947        0.65053        5.79555        0.35104        0.64896        4.00795      282.00000        0.00000
        0.01991        0.01991       -0.00891       -0.00948      757.00116       -0.00046        0.00931        0.33138        0.66862        5.83909        0.34349        0.65651        5.80822        0.34439        0.65561        4.04922      282.00000        0.00000
        0.02042        0.02042       -0.00915       -0.00974      761.00899       -0.00048        0.00956        0.33475        0.66525        5.87201        0.35031        0.64969        5.83355        0.34206        0.65794        4.07420      282.00000        0.00000
        0.02093        0.02093       -0.00940       -0.01000      764.92549       -0.00028        0.00940        0.33351        0.66649        5.90061        0.35176        0.64824        5.85902        0.34037        0.65963        4.10002      282.00000        0.00000
        0.02144        0.02144       -0.00965       -0.01025      768.80080       -0.00032        0.00956        0.33434        0.66566        5.91541        0.35370        0.64630        5.86942        0.33623        0.66377        4.10360      282.00000        0.00000
        0.02195        0.02195       -0.00989       -0.01051      772.49115       -0.00016        0.00949        0.33146        0.66854        5.97770        0.34771        0.65229        5.92625        0.33290        0.66710        4.15110      282.00000        0.00000
        0.02246        0.02246       -0.01014       -0.01077      776.01193        0.00001        0.00945        0.33117        0.66883        6.02394        0.34740        0.65260        5.96552        0.33482        0.66518        4.18707      282.00000        0.00000
        0.02297        0.02297       -0.01038       -0.01102      779.42020        0.00004        0.00932        0.33449        0.66551        6.04322        0.35255        0.64745        5.98579        0.33082        0.66918        4.21182      282.00000        0.00000
        0.02348        0.02348       -0.01063       -0.01128      782.78504       -0.00007        0.00946        0.33566        0.66434        6.06182        0.35526        0.64474        6.00027        0.32980        0.67020        4.22833      282.00000        0.00000
        0.02399        0.02399       -0.01087       -0.01154      786.05290       -0.00017        0.00948        0.33474        0.66526        6.04709        0.35468        0.64532        5.96945        0.33287        0.66713        4.23319      282.00000        0.00000
        0.02450        0.02450       -0.01112       -0.01180      789.25789       -0.00026        0.00973        0.33161        0.66839        6.06145        0.35133        0.64867        6.00573        0.32804        0.67196        4.22414      282.00000        0.00000
        0.02501        0.02501       -0.01136       -0.01206      792.41109       -0.00009        0.00991        0.33065        0.66935        6.06713        0.34816        0.65184        6.01449        0.32886        0.67114        4.23017      282.00000        0.00000
        0.02552        0.02552       -0.01161       -0.01232      795.49725       -0.00029        0.01000        0.33231        0.66769        6.06801        0.35086        0.64914        6.00102        0.32866        0.67134        4.25198      282.00000        0.00000
        0.02604        0.02604       -0.01185       -0.01258      798.53945       -0.00012        0.01002        0.33325        0.66675        6.07198        0.35208        0.64792        6.00561        0.32437        0.67563        4.25899      282.00000        0.00000
