Sections,Parameters,lowerBound,upperBound,fitFlag,scaling,description
Ferrite,2.50E+00,1.00E+00,5.00E+00,1,1.00E+08,k1 DD
,45,10,100,1,1.00E+00,Friction Term
,3.00E+00,1,10,1,1.00E+11,Forest dislocation density
,9,1,30,1,1.00E-03,g DD
,7,1,10,1,100,drag DD
,100,70,130,1,1,tau_bs_sat
,100,70,130,1,1,v_bs
,3,1,6.5,1,1.00E-03,gamma_b_bs
,3.5,1.5,4.5,1,1,A_bs
martensite,1.50E+00,1.00E+00,5.00E+00,1,1.00E+08,k1 DD
,5,1,15,1,1.00E+02,Friction Term
,8.00E+00,1,20,1,1.00E+10,Forest dislocation density
,20,10,40,1,1.00E-03,g DD
,7.5,1,15,1,100,drag DD
