Sections,Parameters,lowerBound,upperBound,fitFlag,scaling,description
Ti,3.50E+00,2.00E+00,5.00E+00,1,1.00E+07,K1_pri
,7.75E+00,6.00E+00,9.00E+00,1,1.00E+07,K1_bas
,5.87E+00,4.00E+00,7.00E+00,1,1.00E+07,K1_pyr
,0.0153,0.01,0.03,1,1.00E+00,g_pri
,0.0423,0.02,0.06,1,1.00E+00,g_bas
,0.0515,0.03,0.07,1,1.00E+00,g_pyr
,1.8416,1.3,2.3,1,1.00E+03,lat_TT_pri
,1.0373,0.5,1.5,1,1.00E+03,lat_CT_pri
,1.9378,1.4,2.4,1,1.00E+03,lat_TT_bas
,2.20E+00,1.60E+00,2.70E+00,1,1.00E+03,lat_CT_bas
,7.3241,6.8,7.8,1,1.00E+03,lat_TT_pyr
,1.74E+01,16.9,17.9,1,1.00E+03,lat_CT_pyr
,1.2113,0.7,1.7,1,1.00E+03,drag_pri
,0.6681,0.1,1.1,1,1.00E+03,drag_bas
,0.5464,0.04,1.04,1,1.00E+03,drag_pyr
,1.056,0.5,1.5,1,1.00E+02,T0_TT
,1.486,0.9,1.9,1,1.00E+02,T0_CT
,0.4,0.2,0.6,1,1.00E+00,thres1_TT
