Sections,Parameters,lowerBound,upperBound,scaling,description
General,17.1,16,19,1.00E-06,grain size case 1 
,25.5,21,23,1.00E-06,grain size case 2 
,150.4,25,27,1.00E-06,grain size case 3 
,5,4,6,1.00E-01,barrier factor 
,4.4,4.3,4.4,1.00E+04,shear modulus 
Prismatic,48.5,10,100,1.00E+00,Tau0
,9.71,4,15,1.00E-02,Hall Petch for grain
,9.71,2,20,1.00E-02,Hall Petch for TT
,9.71,2,20,1.00E-02,Hall Petch for CT
,3.5,1,10,1.00E+07,k1 DD
,1.53,0.1,10,1.00E-02,g DD
,1.2113,0.1,10,1.00E+02,drag DD
,1.8416,0.1,20,1.00E+03,latent hardening on tensile twin
,1.0373,0.1,20,1.00E+03,latent hardening on compression twin
,5.55,4,6,1.00E+10,rho DD
,1,0.9,1.1,1.00E+07,EDOT_0 DD
Pyr I <c+a>,92.79,40,150,1.00E+00,Tau0
,3.676,1,15,1.00E-01,Hall Petch for grain
,3.676,1,20,1.00E-01,Hall Petch for TT
,3.676,1,20,1.00E-01,Hall Petch for CT
,7.75,1,10,1.00E+07,k1 DD
,5.15,0.1,10,1.00E-02,g DD
,5.464,0.1,10,1.00E+02,drag DD
,7.3241,0.1,20,1.00E+03,latent hardening on tensile twin
,1.74,0.1,20,1.00E+03,latent hardening on compression twin
,5.55,3,8,1.00E+10,rho DD
,1,0.9,1.1,1.00E+07,EDOT_0 DD 
Basal,87.97,30,130,1.00E+00,Tau0
,3.37,1,15,1.00E-01,Hall Petch for grain
,3.37,1,20,1.00E-01,Hall Petch for TT
,3.37,1,20,1.00E-01,Hall Petch for CT
,5.87,1,10,1.00E+07,k1 DD
,4.23,0.1,10,1.00E-02,g DD
,6.681,0.1,10,1.00E+02,drag DD
,1.9378,0.1,20,1.00E+03,latent hardening on tensile twin
,2.1987,0.1,20,1.00E+03,latent hardening on compression twin
,5.55,3,8,1.00E+10,rho DD
,1,0.9,1.1,1.00E+07,EDOT_0 DD
Twin TT1,105.6,50,156,1.00E+00,Tau0_nucleation
,105.6,50,156,1.00E+00,Tau0_propagation
,0.1031,0.1,2,1.00E+00,Hall Petch for twin
,0.2,0.2,0.2,1.00E+00,Thres1 inverse of number of laminla in HP for twin
,1,1,1,1.00E+00,Thres2 sets the saturation value of twinning
,1,0.9,1.1,1.00E+00,Twin fraction before secondary twinning starts
Twin CT1,149.1,70,210,1.00E+00,Tau0_nucleation
,149.1,50,230,1.00E+00,Tau0_propagation
,0.2519,0.1,2,1.00E+00,Hall Petch for twin
,0.2,0.2,0.2,1.00E+00,Thres1 inverse of number of laminla in HP for twin
,1,1,1,1.00E+00,Thres2 sets the saturation value of twinning
,1,0.9,1.1,1.00E+00,Twin fraction before secondary twinning starts 
Neff,10,1,10,1.00E+00,Neff in vpsc7.in from secant (1) to Neff=10
