Sections,Parameters,lowerBound,upperBound,scaling,description
General,17.1,16,19,1.00E-06,grain size case 1 
,25.5,21,23,1.00E-06,grain size case 2 
,150.4,25,27,1.00E-06,grain size case 3 
,5,4,6,1.00E-01,barrier factor 
,4.4,4.3,4.4,1.00E+04,shear modulus 
Prismatic,4.845,4,6,1.00E+01,Tau0
,9.71,5,10,1.00E-02,Hall Petch for grain and twins
,3.5,2,5,1.00E+07,k1 DD
,3.5,3,10,1.00E+07,k1 DD TT
,3.5,3,10,1.00E+07,k1 DD CT
,1.53,0.5,2.5,1.00E-02,g DD
,1.2113,0.7,1.7,1.00E+03,drag DD
,1.8416,1.3,2.3,1.00E+03,latent hardening on tensile twin
,1.0373,0.5,1.5,1.00E+03,latent hardening on compression twin
,5.55,4,6,1.00E+10,rho DD
,1,0.9,1.1,1.00E+07,EDOT_0 DD
Pyr I <c+a>,9.279,8,12,1.00E+01,Tau0
,3.676,2,5,1.00E-01,Hall Petch for grain and twins
,7.75,5,12,1.00E+07,k1 DD
,7.75,5,15,1.00E+07,k1 DD TT
,7.75,5,15,1.00E+07,k1 DD CT
,5.15,1,10,1.00E-02,g DD
,5.464,4.9,5.9,1.00E+02,drag DD
,7.3241,6.8,7.8,1.00E+03,latent hardening on tensile twin
,1.74,0.8,2.7,1.00E+04,latent hardening on compression twin
,5.55,3,8,1.00E+10,rho DD
,1,0.9,1.1,1.00E+07,EDOT_0 DD 
Basal,8.797,5,9,1.00E+01,Tau0
,3.37,2,4,1.00E-01,Hall Petch for grain and twins
,5.87,3,9,1.00E+07,k1 DD
,5.87,5,12,1.00E+07,k1 DD TT
,5.87,5,12,1.00E+07,k1 DD CT
,4.23,1,7,1.00E-02,g DD
,6.681,1,11,1.00E+02,drag DD
,1.9378,1.4,2.4,1.00E+03,latent hardening on tensile twin
,2.1987,1.6,2.7,1.00E+03,latent hardening on compression twin
,5.55,3,8,1.00E+10,rho DD
,1,0.9,1.1,1.00E+07,EDOT_0 DD
Twin TT1,1.056,0.1,2,1.00E+02,Tau0_nucleation
,1.056,0.1,2,1.00E+02,Tau0_propagation
,1.031,0.1,3,1.00E-01,Hall Petch for twin
,0.2,0.2,0.2,1.00E+00,Thres1 inverse of number of laminla in HP for twin
,1,1,1,1.00E+00,Thres2 sets the saturation value of twinning
,1,0.9,1.1,1.00E+00,Twin fraction before secondary twinning starts
Twin CT1,1.486,0.1,2,1.00E+02,Tau0_nucleation
,1.486,0.1,2,1.00E+02,Tau0_propagation
,2.519,0.1,3,1.00E-01,Hall Petch for twin
,0.2,0.2,0.2,1.00E+00,Thres1 inverse of number of laminla in HP for twin
,1,1,1,1.00E+00,Thres2 sets the saturation value of twinning
,1,0.9,1.1,1.00E+00,Twin fraction before secondary twinning starts 
