  %STRAIN  PHFRAC   AVACS   MODE1   MODE2   MODE3   MODE4   MODE5   TWFR4   TWFR5
   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.001   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.002   0.000   1.000   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.003   0.000   1.244   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.004   0.000   1.215   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.005   0.000   1.219   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.006   0.000   1.134   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.007   0.000   1.288   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.008   0.000   1.287   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.009   0.000   1.279   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.010   0.000   1.272   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.011   0.000   1.267   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.012   0.000   1.262   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.013   0.000   1.348   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.014   0.000   1.393   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.015   0.000   1.394   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.016   0.001   1.396   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.017   0.001   1.402   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.018   0.001   1.406   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.019   0.001   1.410   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.020   0.001   1.415   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.021   0.001   1.421   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.022   0.001   1.426   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.023   0.001   1.433   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.024   0.001   1.439   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.025   0.001   1.446   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.026   0.001   1.453   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.027   0.001   1.629   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.028   0.001   1.632   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.029   0.001   1.634   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.030   0.001   1.645   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.031   0.001   1.719   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.032   0.001   1.724   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.033   0.001   1.729   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.034   0.001   1.753   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.035   0.001   1.759   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.036   0.001   1.815   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.037   0.001   1.949   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.038   0.001   2.027   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.039   0.002   2.025   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.040   0.002   2.023   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.041   0.002   2.022   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.042   0.002   2.114   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.043   0.002   2.113   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.044   0.002   2.113   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.045   0.002   2.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.046   0.002   2.118   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.047   0.002   2.137   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.048   0.002   2.138   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.049   0.002   2.140   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.050   0.002   2.231   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.051   0.002   2.337   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.052   0.002   2.336   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.053   0.002   2.335   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.054   0.002   2.334   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.055   0.002   2.332   0.000   0.000   0.000   0.000   0.000   0.000   0.000
   0.056   0.002   2.331   0.000   0.000   0.000   0.000   0.000   0.000   0.000
