  STRAIN   SUBSTRUCTURE     MODE1     MODE2     MODE3
   0.000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.001 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.002 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.003 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.004 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.005 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.006 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.007 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.0000000E+00
   0.008 0.8805886E+02 0.8002308E+11 0.1136841E+12 0.2350206E+12
   0.009 0.1285404E+03 0.5957457E+11 0.2948595E+12 0.1119100E+12
   0.010 0.1285355E+03 0.5957206E+11 0.2947953E+12 0.1119716E+12
   0.011 0.1285313E+03 0.5956901E+11 0.2947335E+12 0.1120320E+12
   0.012 0.1285277E+03 0.5956562E+11 0.2946738E+12 0.1120911E+12
   0.013 0.1285245E+03 0.5956201E+11 0.2946160E+12 0.1121490E+12
   0.014 0.1285216E+03 0.5955828E+11 0.2945601E+12 0.1122054E+12
   0.015 0.1285191E+03 0.5955449E+11 0.2945059E+12 0.1122605E+12
   0.016 0.1148086E+04 0.1500176E+12 0.5125044E+12 0.8174053E+11
   0.017 0.1150473E+04 0.1502279E+12 0.5129917E+12 0.8169300E+11
   0.018 0.1360125E+04 0.1476121E+12 0.5374565E+12 0.8055772E+11
   0.019 0.2056548E+04 0.1418680E+12 0.5071096E+12 0.1630069E+12
   0.020 0.2076777E+04 0.1418982E+12 0.5066968E+12 0.1651511E+12
   0.021 0.2096739E+04 0.1419283E+12 0.5062928E+12 0.1672644E+12
   0.022 0.2116422E+04 0.1419582E+12 0.5058974E+12 0.1693459E+12
   0.023 0.2787058E+04 0.1787088E+12 0.5223552E+12 0.1648934E+12
   0.024 0.6764305E+04 0.3116108E+12 0.4937334E+12 0.1597258E+12
   0.025 0.6853198E+04 0.3141193E+12 0.4936944E+12 0.1612195E+12
   0.026 0.6940091E+04 0.3165710E+12 0.4936648E+12 0.1626785E+12
   0.027 0.9346036E+04 0.3121087E+12 0.5624681E+12 0.1599231E+12
   0.028 0.9463297E+04 0.3142462E+12 0.5635690E+12 0.1611918E+12
   0.029 0.1210665E+05 0.2952332E+12 0.6549359E+12 0.2057303E+12
   0.030 0.1964531E+05 0.2522903E+12 0.8501665E+12 0.2906458E+12
   0.031 0.1982817E+05 0.2528930E+12 0.8539985E+12 0.2936503E+12
   0.032 0.2500765E+05 0.3886069E+12 0.7666078E+12 0.4795948E+12
   0.033 0.3092104E+05 0.4289560E+12 0.7553427E+12 0.5452847E+12
   0.034 0.3127609E+05 0.4311791E+12 0.7573417E+12 0.5500343E+12
   0.035 0.3161788E+05 0.4333230E+12 0.7592494E+12 0.5545779E+12
   0.036 0.3195347E+05 0.4354367E+12 0.7610970E+12 0.5590127E+12
   0.037 0.3350444E+05 0.4361681E+12 0.7737665E+12 0.5615247E+12
   0.038 0.3381852E+05 0.4381719E+12 0.7754541E+12 0.5656625E+12
   0.039 0.3494705E+05 0.4393037E+12 0.7838956E+12 0.5686430E+12
   0.040 0.3524691E+05 0.4411978E+12 0.7854890E+12 0.5725022E+12
   0.041 0.3848235E+05 0.4510257E+12 0.7768239E+12 0.6107057E+12
   0.042 0.3879420E+05 0.4528866E+12 0.7781637E+12 0.6146497E+12
   0.043 0.3909373E+05 0.4546800E+12 0.7794427E+12 0.6184223E+12
   0.044 0.3938770E+05 0.4564549E+12 0.7806795E+12 0.6221106E+12
   0.045 0.3967031E+05 0.4581726E+12 0.7818589E+12 0.6256399E+12
   0.046 0.3994767E+05 0.4598781E+12 0.7829969E+12 0.6290880E+12
   0.047 0.4021448E+05 0.4615340E+12 0.7840812E+12 0.6323873E+12
   0.048 0.4047613E+05 0.4631793E+12 0.7851262E+12 0.6356065E+12
   0.049 0.4072797E+05 0.4647794E+12 0.7861220E+12 0.6386875E+12
   0.050 0.4097498E+05 0.4663697E+12 0.7870815E+12 0.6416939E+12
   0.051 0.4121297E+05 0.4679179E+12 0.7879965E+12 0.6445737E+12
   0.052 0.4144529E+05 0.4694478E+12 0.7888756E+12 0.6473704E+12
   0.053 0.4166994E+05 0.4709424E+12 0.7897161E+12 0.6500586E+12
   0.054 0.4188973E+05 0.4724217E+12 0.7905248E+12 0.6526757E+12
   0.055 0.4210262E+05 0.4738684E+12 0.7912985E+12 0.6551960E+12
   0.056 0.4231102E+05 0.4752994E+12 0.7920425E+12 0.6576517E+12
   0.057 0.4251300E+05 0.4766981E+12 0.7927543E+12 0.6600189E+12
   0.058 0.6094510E+05 0.4744509E+12 0.7979266E+12 0.7105993E+12
   0.059 0.6153131E+05 0.4757123E+12 0.7986744E+12 0.7138588E+12
   0.060 0.6210683E+05 0.4769508E+12 0.7993940E+12 0.7170376E+12
   0.061 0.1223095E+06 0.5908231E+12 0.7895101E+12 0.7101185E+12
   0.062 0.1550423E+06 0.5907867E+12 0.8556813E+12 0.7093515E+12
   0.063 0.2224961E+06 0.7534108E+12 0.8372706E+12 0.6967895E+12
   0.064 0.2252125E+06 0.7580472E+12 0.8380869E+12 0.6991572E+12
   0.065 0.2278983E+06 0.7626395E+12 0.8388636E+12 0.7014629E+12
   0.066 0.2305303E+06 0.7671487E+12 0.8395992E+12 0.7036997E+12
   0.067 0.2331277E+06 0.7716109E+12 0.8402960E+12 0.7058805E+12
   0.068 0.2356687E+06 0.7759901E+12 0.8409521E+12 0.7079987E+12
   0.069 0.2381714E+06 0.7803164E+12 0.8415723E+12 0.7100664E+12
   0.070 0.2406157E+06 0.7845529E+12 0.8421586E+12 0.7120782E+12
   0.071 0.2430185E+06 0.7887279E+12 0.8427148E+12 0.7140451E+12
   0.072 0.2453619E+06 0.7928101E+12 0.8432407E+12 0.7159609E+12
   0.073 0.3004741E+06 0.8059003E+12 0.9173939E+12 0.7114046E+12
   0.074 0.3213535E+06 0.8149241E+12 0.9597358E+12 0.7083081E+12
   0.075 0.3380863E+06 0.8195031E+12 0.9596128E+12 0.7296914E+12
   0.076 0.3413086E+06 0.8233818E+12 0.9616743E+12 0.7313350E+12
   0.077 0.3444446E+06 0.8271705E+12 0.9636755E+12 0.7329291E+12
   0.078 0.3475126E+06 0.8308941E+12 0.9656234E+12 0.7344815E+12
   0.079 0.3504910E+06 0.8345207E+12 0.9675104E+12 0.7359898E+12
   0.080 0.3533727E+06 0.8380315E+12 0.9693340E+12 0.7374788E+12
   0.081 0.3561580E+06 0.8414231E+12 0.9710989E+12 0.7389518E+12
   0.082 0.3588421E+06 0.8446822E+12 0.9728129E+12 0.7404130E+12
   0.083 0.3614278E+06 0.8478149E+12 0.9744760E+12 0.7418607E+12
   0.084 0.3639164E+06 0.8508260E+12 0.9760841E+12 0.7432960E+12
   0.085 0.3663352E+06 0.8537518E+12 0.9776410E+12 0.7447322E+12
